date,time,type
20230101,1825,DJI
20230102,1400,DJI
20230103,,DJI
20230104,1325,DJI
20230105,1732,DJI
20230106,1324,DJI
20230107,,DJI
20230108,1223,DJI
20230109,2021,DJI
20230110,,DJI
20230111,,DJI
20230112,,DJI
20230113,1342,DJI
20230114,1150,DJI
20230115,1913,DJI
20230116,1507,DJI
20230117,1333,DJI
20230118,1258,DJI
20230119,2242,DJI
20230120,1349,DJI
20230121,2206,DJI
20230122,1452,DJI
20230123,,DJI
20230124,1333,DJI
20230125,1019,DJI
20230126,1959,DJI
20230127,1314,DJI
20230128,,DJI
20230129,1404,Phone
20230130,2001,Phone
20230131,1220,Phone
20230201,1759,DJI
20230202,1050,DJI
20230203,1311,DJI
20230204,1654,DJI
20230205,1107,DJI
20230206,1427,DJI
20230207,1816,DJI
20230208,1157,DJI
20230209,0632,Phone
20230210,1317,Phone
20230211,1113,Phone
20230212,1727,DJI
20230213,1156,DJI
20230214,1739,DJI
20230215,1622,DJI
20230216,1258,DJI
20230217,1720,DJI
20230218,1716,DJI
20230219,,DJI
20230220,1602,DJI
20230221,1329,Phone
20230222,1230,DJI
20230223,2127,DJI
20230224,1520,DJI
20230225,,DJI
20230226,,DJI
20230227,1435,DJI
20230228,1257,DJI
20230301,1332,DJI
20230302,1322,DJI
20230303,1726,DJI
20230304,1607,DJI
20230305,1513,DJI
20230306,1223,Phone
20230307,1158,DJI
20230308,1345,DJI
20230309,1049,DJI
20230310,1620,DJI
20230311,1641,DJI
20230312,,DJI
20230313,1232,DJI
20230314,1944,DJI
20230315,1627,DJI
20230316,1236,DJI
20230317,1425,DJI
20230318,1540,DJI
20230319,1535,DJI
20230320,1142,DJI
20230321,1612,DJI
20230322,1059,DJI
20230323,1114,DJI
20230324,1328,Phone
20230325,1433,Phone
20230326,,DJI
20230327,,
20230328,1320,DJI
20230329,,DJI
20230330,1250,DJI
20230331,1241,DJI
20230401,1223,Phone
20230402,1614,DJI
20230403,1059,DJI
20230404,1525,Phone
20230405,1126,DJI
20230406,0531,Phone
20230407,1119,Phone
20230408,1308,DJI
20230409,1503,DJI
20230410,1149,DJI
20230411,,DJI
20230412,,DJI
20230413,,
20230414,1339,DJI
20230415,,
20230416,1341,Phone
20230417,1151,Phone
20230418,1312,Phone
20230419,1119,DJI
20230420,,DJI
20230421,1417,DJI
20230422,1222,DJI
20230423,1425,DJI
20230424,,
20230425,0613,DJI
20230426,,DJI
20230427,,
20230428,1539,DJI
20230429,,DJI
20230430,,DJI
20230501,1714,DJI
20230502,1222,DJI
20230503,,DJI
20230504,1816,DJI
20230505,,
20230506,,
20230507,,DJI
20230508,,
20230509,1218,DJI
20230510,1817,DJI
20230511,1705,DJI
20230512,1306,Phone
20230513,1247,Phone
20230514,1418,DJI
20230515,0602,DJI
20230516,1359,DJI
20230517,1359,DJI
20230518,1110,Phone
20230519,,DJI
20230520,1722,DJI
20230521,1717,DJI
20230522,1131,DJI
20230523,1959,DJI
20230524,1118,DJI
20230525,,
20230526,,
20230527,1438,DJI
20230528,1115,Phone
20230529,1801,DJI
20230530,1152,DJI
20230531,,
20230601,1251,DJI
20230602,1346,DJI
20230603,1425,DJI
20230604,,DJI
20230605,1632,DJI
20230606,1147,DJI
20230607,0445,Phone
20230608,0437,Phone
20230609,1159,Phone
20230610,1437,Phone
20230611,1315,DJI
20230612,1355,Phone
20230613,1259,Phone
20230614,1223,Phone
20230615,1115,Phone
20230616,1237,Phone
20230617,1801,Phone
20230618,1351,Phone
20230619,1337,DJI
20230620,1507,DJI
20230621,1718,Phone
20230622,,
20230623,1427,Phone
20230624,1427,Phone
20230625,,DJI
20230626,,DJI
20230627,1006,DJI
20230628,1225,Phone
20230629,1250,Phone
20230630,0949,Phone
20230701,1523,Phone
20230702,1418,Phone
20230703,1235,Phone
20230704,1148,Phone
20230705,,
20230706,1924,DJI
20230707,0325,Phone
20230708,1140,DJI
20230709,1017,DJI
20230710,1235,DJI
20230711,1443,DJI
20230712,1403,DJI
20230713,,
20230714,,DJI
20230715,,
20230716,,
20230717,1155,DJI
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,1504,DJI
20230724,,
20230725,1515,DJI
20230726,1615,DJI
20230727,1255,DJI
20230728,1650,DJI
20230729,1253,DJI
20230730,,
20230731,1751,DJI
20230801,,DJI
20230802,1940,DJI
20230803,1904,DJI
20230804,1104,DJI
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,1350,DJI
20230813,1318,DJI
20230814,,
20230815,1458,DJI
20230816,1300,DJI
20230817,0958,DJI
20230818,1509,DJI
20230819,,
20230820,,
20230821,1617,DJI
20230822,1503,DJI
20230823,,
20230824,,
20230825,2020,DJI
20230826,1745,DJI
20230827,,
20230828,1801,DJI
20230829,1216,DJI
20230830,,
20230831,,
20230901,1618,DJI
20230902,1605,DJI
20230903,,
20230904,,
20230905,,
20230906,0559,DJI
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,1633,Phone
20230919,,
20230920,,
20230921,1907,Phone
20230922,1756,Phone
20230923,1944,DJI
20230924,1711,DJI
20230925,1917,DJI
20230926,0619,DJI
20230927,1910,DJI
20230928,1945,DJI
20230929,1821,DJI
20230930,1013,DJI
20231001,1736,DJI
20231002,1902,DJI
20231003,0619,DJI
20231004,2021,DJI
20231005,2023,DJI
20231006,,DJI
20231007,1555,DJI
20231008,1322,DJI
20231009,1817,DJI
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,1423,DJI
20231025,,
20231026,1822,DJI
20231027,0604,DJI
20231028,1235,DJI
20231029,1351,DJI
20231030,0627,DJI
20231031,1714,DJI
20231101,0609,DJI
20231102,0633,DJI
20231103,1650,DJI
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,0725,DJI
20231110,1640,DJI
20231111,,
20231112,,DJI
20231113,0716,DJI
20231114,0724,DJI
20231115,0718,DJI
20231116,0728,DJI
20231117,0748,DJI
20231118,1809,DJI
20231119,,
20231120,0728,DJI
20231121,1811,DJI
20231122,,
20231123,1114,DJI
20231124,,DJI
20231125,1350,DJI
20231126,1951,DJI
20231127,0729,DJI
20231128,1743,DJI
20231129,0729,DJI
20231130,1458,DJI
20231201,1704,DJI
20231202,,DJI
20231203,,DJI
20231204,0704,DJI
20231205,0720,DJI
20231206,0729,DJI
20231207,0835,DJI
20231208,,
20231209,,
20231210,,DJI
20231211,,
20231212,0725,DJI
20231213,1725,DJI
20231214,,DJI
20231215,,DJI
20231216,,DJI
20231217,,DJI
20231218,,
20231219,1857,DJI
20231220,,DJI
20231221,1615,DJI
20231222,1419,DJI
