date,time,type
20221118,1716,DJI
20221119,1655,DJI
20221120,1539,DJI
20221121,2107,Phone
20221122,2117,Phone
20221123,1822,DJI
20221124,1701,DJI
20221125,1312,Phone
20221126,,DJI
20221127,1458,DJI
20221128,2102,DJI
20221129,2103,DJI
20221130,2009,DJI
20221201,1827,DJI
20221202,1512,DJI
20221203,,
20221204,1230,DJI
20221205,,DJI
20221206,1936,DJI
20221207,2039,DJI
20221208,2240,DJI
20221209,1510,DJI
20221210,1842,DJI
20221211,1716,DJI
20221212,1234,DJI
20221213,1626,DJI
20221214,1450,DJI
20221215,1303,DJI
20221216,2044,DJI
20221217,1416,DJI
20221218,1629,DJI
20221219,1255,DJI
20221220,1341,DJI
20221221,1145,Phone
20221222,1002,Phone
20221223,1516,DJI
20221224,1203,Phone
20221225,1518,DJI
20221226,1656,DJI
20221227,1711,DJI
20221228,,
20221229,,DJI
20221230,1234,DJI
20221231,1534,DJI
